Date,Open,High,Low,Close,Volume
2020-09-02,34.21,34.505,33.29,34.37,16552685
2020-09-01,33.45,34.51,33.145,34.3,16026170
2020-08-31,33.62,33.92,33.1401,33.63,14980621
2020-08-28,33.0,33.94,32.82,33.8,17833021
2020-08-27,32.4,33.07,32.27,32.8,21306491
2020-08-26,31.01,32.71,30.95,32.3,20599776
2020-08-25,31.04,31.19,30.6,31.19,10056762
2020-08-24,30.97,31.3,30.37,31.04,17406239
2020-08-21,31.39,31.82,30.7144,30.83,20216997
2020-08-20,29.13,31.7,28.48,31.41,56663347
2020-08-19,30.15,30.349,29.39,29.42,14050333
2020-08-18,29.5,30.46,29.41,30.08,29398212
2020-08-17,30.05,30.12,29.14,29.48,18544676
2020-08-14,30.4,30.49,29.815,29.99,17631632
2020-08-13,30.52,31.33,30.32,30.46,21976775
2020-08-12,31.46,32.22,30.69,30.84,23415151
2020-08-11,31.66,32.21,30.65,31.21,31569923
2020-08-10,33.04,33.18,31.51,32.27,21347585
2020-08-07,33.09,33.7,32.45,32.9,39071193
2020-08-06,33.27,34.795,33.21,34.71,38601493
2020-08-05,33.1,33.32,32.5,33.2,17279011
2020-08-04,31.17,32.845,31.17,32.68,21958142
2020-08-03,30.24,31.295,30.06,31.19,17084299
2020-07-31,30.4,30.42,29.785,30.26,16360999
2020-07-30,30.65,30.68,29.97,30.24,13062912
2020-07-29,30.92,31.26,30.77,31.02,8215892
2020-07-28,30.79,31.24,30.35,30.81,12977145
2020-07-27,31.21,31.6,30.75,30.99,10182302
2020-07-24,31.74,31.8,30.47,31.18,16896059
2020-07-23,32.33,33.02,31.983,32.17,12749770
2020-07-22,32.44,32.88,32.33,32.66,12128382
2020-07-21,34.16,34.23,32.53,32.55,16743293
2020-07-20,32.48,33.925,32.35,33.66,16213609
2020-07-17,32.58,32.8162,31.85,32.55,13667896
2020-07-16,32.05,32.59,31.55,32.35,11090750
2020-07-15,32.1,32.97,31.68,32.81,20976523
2020-07-14,31.35,31.38,30.48,30.93,21781825
2020-07-13,33.21,33.6,31.66,31.72,19604822
2020-07-10,33.14,33.55,32.65,33.14,13586289
2020-07-09,34.24,34.46,32.2599,33.15,25061818
2020-07-08,33.21,33.97,32.68,33.93,24602369
2020-07-07,32.46,33.5598,32.39,32.82,34874658
2020-07-06,33.1,33.2,31.76,32.52,42392222
2020-07-02,31.02,31.57,30.51,30.68,14981137
2020-07-01,30.96,31.265,30.1622,30.43,13611544
2020-06-30,30.83,31.25,30.13,31.08,21282810
2020-06-29,29.51,29.75,28.39,29.63,20795402
2020-06-26,30.44,30.44,29.2099,29.61,46482331
2020-06-25,30.0,30.855,29.56,30.58,19142789
2020-06-24,32.75,32.93,30.455,30.46,29477229
2020-06-23,32.88,33.21,32.5901,33.05,13622126
2020-06-22,32.43,32.85,31.43,32.68,17790276
2020-06-19,33.98,34.02,32.27,32.3,29426285
2020-06-18,33.0,33.44,32.8,33.4,15495838
2020-06-17,33.5,33.595,33.010999999999996,33.29,14827742
2020-06-16,34.0,34.17,32.43,33.49,21377119
2020-06-15,31.16,32.68,31.0201,32.67,21350290
2020-06-12,32.73,32.74,31.04,32.24,27685169
2020-06-11,32.63,33.245,30.8904,31.1,45298714
2020-06-10,36.69,36.8,34.265,34.83,43473719
2020-06-09,36.7,37.33,36.25,36.59,15127269
2020-06-08,37.87,37.9,36.09,37.08,30099525
2020-06-05,37.53,38.7825,36.92,37.21,30393429
2020-06-04,36.42,37.3,36.28,36.43,17423577
2020-06-03,36.2,37.3678,36.14,36.75,23051776
2020-06-02,36.16,36.42,35.26,35.81,19328415
2020-06-01,35.64,36.39,35.16,35.82,21893806
2020-05-29,34.18,36.45,34.0,36.32,72422927
2020-05-28,34.9,35.1,33.82,34.15,21959579
2020-05-27,34.42,35.0,33.1,34.88,27514553
2020-05-26,35.97,36.0,34.5,34.56,23483218
2020-05-22,34.15,34.93,33.57,34.83,18675675
2020-05-21,34.45,35.01,33.47,34.26,24075308
2020-05-20,34.12,34.77,33.82,34.48,21386703
2020-05-19,33.68,34.0,32.86,33.4,20223567
2020-05-18,33.7,36.0,32.99,33.62,47561742
2020-05-15,32.26,32.89,31.59,32.47,25949971
2020-05-14,32.53,33.0399,31.24,32.79,32912581
2020-05-13,32.3,33.06,30.83,33.02,47279487
2020-05-12,31.42,34.45,30.41,32.4,89585967
2020-05-11,31.98,32.385,31.41,31.64,26439191
2020-05-08,32.59,33.3,31.64,32.79,69525793
2020-05-07,29.6,31.65,29.58,30.93,62229496
2020-05-06,27.5,28.06,26.81,27.82,31076451
2020-05-05,28.25,28.9088,27.44,28.07,30725371
2020-05-04,27.56,28.07,26.58,27.42,23428333
